,Unnamed: 0,Event,Time,Port,Vessel,VesselType
122,122,Departure,2019-12-08 15:28,RIDDERKERK,VLIJ [NL],passenger
123,123,Departure,2019-12-08 15:28,VONDELINGENPLAAT - ROTTERDAM,KRVE10 [NL],undefined
124,124,Departure,2019-12-08 15:28,ITAQUI,SATURNO [BR],tug
125,125,Arrival,2019-12-08 15:28,LA BOUILLE,BAC 20 [FR],passenger
126,126,Arrival,2019-12-08 15:28,HONG KONG,HORTA [HK],high speed
127,127,Arrival,2019-12-08 15:28,PARADIP,DCI DREDGE_ XVII [IN],undefined
128,128,Departure,2019-12-08 15:28,SOLAVAGEN,LOTE [NO],passenger
129,129,Departure,2019-12-08 15:28,HAIKOU,FANG ZHOU 33 [CN],cargo
130,130,Departure,2019-12-08 15:28,NIEUWEGEIN,ESTRELLA [NL],tanker
131,131,Departure,2019-12-08 15:28,NAPOLI,SNAV ALCIONE [IT],passenger
132,132,Arrival,2019-12-08 15:28,RIDDERKERK,SCHIE [NL],passenger
133,133,Departure,2019-12-08 15:28,SAN ADRIAN DE BESOS,SOFIA [ES],yacht
134,134,Arrival,2019-12-08 15:28,AGIOI THEODORI,CHRYSI [GR],tug
135,135,Arrival,2019-12-08 15:28,KRONSHTADT,TAURUS [RU],tug
136,136,Arrival,2019-12-08 15:28,QINZHOU,BEIBUWANYIN21 [CN],tug
137,137,Departure,2019-12-08 15:28,KIMITSU,ASHUUZAN NO.5 [JP],cargo
138,138,Departure,2019-12-08 15:28,BARCELONA,ECO SLIM [ES],passenger
139,139,Arrival,2019-12-08 15:28,GIBRALTAR,JAMES M [GI],tug
140,140,Departure,2019-12-08 15:28,GOTEBORG,STENA JUTLANDICA [SE],passenger
141,141,Arrival,2019-12-08 15:28,SINGAPORE,CAST INNOVATION [SG],yacht
142,142,Arrival,2019-12-08 15:28,SAGUNTO,VB SONADOR [ES],tug
143,143,Arrival,2019-12-08 15:28,RAUMA,PILOT L134 [FI],tug
144,144,Departure,2019-12-08 15:28,CIWANDAN,TB.GONAYA V [ID],tug
145,145,Departure,2019-12-08 15:28,MONDORF,CHRISTOPHORUS [DE],undefined
146,146,Arrival,2019-12-08 15:27,ALGECIRAS,KATTEGAT [ES],passenger
147,147,Arrival,2019-12-08 15:27,BUSAN,PILOT HAEUNDAE [KR],tug
148,148,Departure,2019-12-08 15:27,CHEVRON SF,TUG VIGILANT [US],tug
149,149,Departure,2019-12-08 15:27,ZEYTINBURNU,271046596 [TR],tug
150,150,Arrival,2019-12-08 15:27,MAASSLUIS,BLANKENBURG [NL],passenger
151,151,Arrival,2019-12-08 15:27,MARSAXLOKK,SCOT FRANKFURT [MT],tanker
152,152,Arrival,2019-12-08 15:27,WIJK BIJ DUURSTEDE,QUDAJO [NL],cargo
153,153,Departure,2019-12-08 15:27,VALENCIA,MAERSK NAIROBI [ES],cargo
154,154,Arrival,2019-12-08 15:27,PERAMA,IOANNIS-SOPHIA K [GR],passenger
155,155,Arrival,2019-12-08 15:27,ALMADA,CAMPOLIDE [PT],passenger
156,156,Departure,2019-12-08 15:27,GRAVESEND,GUIDE [GB],tug
157,157,Departure,2019-12-08 15:27,SCHIEDAM,MANTYRANO [NL],tanker
158,158,Departure,2019-12-08 15:27,KALVSUND,BURO [SE],passenger
159,159,Arrival,2019-12-08 15:27,STAVANGER,RYFYLKE [NO],passenger
