,Event,Time,Port,Vessel,VesselType
105,Departure,2019-12-08 15:29,ISCHIA,ISOLA DI CAPRI [IT],/icons/icon6_511.png
106,Departure,2019-12-08 15:29,HAIAN,BAO DAO 12 HAO [CN],/icons/icon6_511.png
107,Departure,2019-12-08 15:29,LISBOA,GIL VICENTE [PT],/icons/icon6_511.png
108,Departure,2019-12-08 15:29,LAS PALMAS,VILLA DE AGAETE [ES],/icons/icon4_511.png
109,Departure,2019-12-08 15:29,FORVIK,HORNSTIND [NO],/icons/icon6_511.png
110,Arrival,2019-12-08 15:29,BREMERHAVEN,BREMERHAVEN [DE],/icons/icon6_511.png
111,Arrival,2019-12-08 15:28,STAVANGER,RYGERFJELL [NO],/icons/icon6_511.png
112,Departure,2019-12-08 15:28,YANBU,RADHWA 26 [SA],/icons/icon0_511.png
113,Departure,2019-12-08 15:28,ANTIRIO,KANARIS [GR],/icons/icon6_511.png
114,Departure,2019-12-08 15:28,SANDVIKVAAG,FLATOY [NO],/icons/icon6_511.png
115,Arrival,2019-12-08 15:28,AMBARLI,ROSELINE A [TR],/icons/icon7_511.png
116,Departure,2019-12-08 15:28,WELCOME,BECKY S [US],/icons/icon3_511.png
117,Arrival,2019-12-08 15:28,LARVIK,SUPERSPEED 2 [NO],/icons/icon6_511.png
118,Arrival,2019-12-08 15:28,SINGAPORE,JET FLYTE I [SG],/icons/icon6_511.png
119,Arrival,2019-12-08 15:28,SCHIEDAM,FAIRPLAY 24 [NL],/icons/icon3_511.png
120,Departure,2019-12-08 15:28,HOOPTE,LUENEBURGER HEIDE [DE],/icons/icon6_511.png
121,Departure,2019-12-08 15:28,CHIMBOTE,TASA 71 [PE],/icons/icon10_511.png
122,Departure,2019-12-08 15:28,RIDDERKERK,VLIJ [NL],/icons/icon6_511.png
123,Departure,2019-12-08 15:28,VONDELINGENPLAAT - ROTTERDAM,KRVE10 [NL],/icons/icon0_511.png
124,Departure,2019-12-08 15:28,ITAQUI,SATURNO [BR],/icons/icon3_511.png
125,Arrival,2019-12-08 15:28,LA BOUILLE,BAC 20 [FR],/icons/icon6_511.png
126,Arrival,2019-12-08 15:28,HONG KONG,HORTA [HK],/icons/icon4_511.png
127,Arrival,2019-12-08 15:28,PARADIP,DCI DREDGE_ XVII [IN],/icons/icon0_511.png
128,Departure,2019-12-08 15:28,SOLAVAGEN,LOTE [NO],/icons/icon6_511.png
129,Departure,2019-12-08 15:28,HAIKOU,FANG ZHOU 33 [CN],/icons/icon7_511.png
130,Departure,2019-12-08 15:28,NIEUWEGEIN,ESTRELLA [NL],/icons/icon8_511.png
131,Departure,2019-12-08 15:28,NAPOLI,SNAV ALCIONE [IT],/icons/icon6_511.png
132,Arrival,2019-12-08 15:28,RIDDERKERK,SCHIE [NL],/icons/icon6_511.png
133,Departure,2019-12-08 15:28,SAN ADRIAN DE BESOS,SOFIA [ES],/icons/icon9_511.png
134,Arrival,2019-12-08 15:28,AGIOI THEODORI,CHRYSI [GR],/icons/icon3_511.png
135,Arrival,2019-12-08 15:28,KRONSHTADT,TAURUS [RU],/icons/icon3_511.png
136,Arrival,2019-12-08 15:28,QINZHOU,BEIBUWANYIN21 [CN],/icons/icon3_511.png
137,Departure,2019-12-08 15:28,KIMITSU,ASHUUZAN NO.5 [JP],/icons/icon7_511.png
138,Departure,2019-12-08 15:28,BARCELONA,ECO SLIM [ES],/icons/icon6_511.png
139,Arrival,2019-12-08 15:28,GIBRALTAR,JAMES M [GI],/icons/icon3_511.png
140,Departure,2019-12-08 15:28,GOTEBORG,STENA JUTLANDICA [SE],/icons/icon6_511.png
141,Arrival,2019-12-08 15:28,SINGAPORE,CAST INNOVATION [SG],/icons/icon9_511.png
142,Arrival,2019-12-08 15:28,SAGUNTO,VB SONADOR [ES],/icons/icon3_511.png
143,Arrival,2019-12-08 15:28,RAUMA,PILOT L134 [FI],/icons/icon3_511.png
144,Departure,2019-12-08 15:28,CIWANDAN,TB.GONAYA V [ID],/icons/icon3_511.png
145,Departure,2019-12-08 15:28,MONDORF,CHRISTOPHORUS [DE],/icons/icon0_511.png
146,Arrival,2019-12-08 15:27,ALGECIRAS,KATTEGAT [ES],/icons/icon6_511.png
147,Arrival,2019-12-08 15:27,BUSAN,PILOT HAEUNDAE [KR],/icons/icon3_511.png
148,Departure,2019-12-08 15:27,CHEVRON SF,TUG VIGILANT [US],/icons/icon3_511.png
149,Departure,2019-12-08 15:27,ZEYTINBURNU,271046596 [TR],/icons/icon3_511.png
150,Arrival,2019-12-08 15:27,MAASSLUIS,BLANKENBURG [NL],/icons/icon6_511.png
151,Arrival,2019-12-08 15:27,MARSAXLOKK,SCOT FRANKFURT [MT],/icons/icon8_511.png
152,Arrival,2019-12-08 15:27,WIJK BIJ DUURSTEDE,QUDAJO [NL],/icons/icon7_511.png
153,Departure,2019-12-08 15:27,VALENCIA,MAERSK NAIROBI [ES],/icons/icon7_511.png
154,Arrival,2019-12-08 15:27,PERAMA,IOANNIS-SOPHIA K [GR],/icons/icon6_511.png
155,Arrival,2019-12-08 15:27,ALMADA,CAMPOLIDE [PT],/icons/icon6_511.png
156,Departure,2019-12-08 15:27,GRAVESEND,GUIDE [GB],/icons/icon3_511.png
157,Departure,2019-12-08 15:27,SCHIEDAM,MANTYRANO [NL],/icons/icon8_511.png
158,Departure,2019-12-08 15:27,KALVSUND,BURO [SE],/icons/icon6_511.png
159,Arrival,2019-12-08 15:27,STAVANGER,RYFYLKE [NO],/icons/icon6_511.png
160,Departure,2019-12-08 15:27,SINGAPORE,SEA FALCON 11 [SG],/icons/icon7_511.png
161,Departure,2019-12-08 15:27,ROTTERDAM,LIBRA (PILOTS) [NL],/icons/icon3_511.png
162,Arrival,2019-12-08 15:27,MEMPHIS,JULIE ROBINSON [US],/icons/icon9_511.png
163,Departure,2019-12-08 15:27,PORTSMOUTH,SOLENT CAT [GB],/icons/icon6_511.png
164,Arrival,2019-12-08 15:27,SALTHOLMEN,VESTA [SE],/icons/icon6_511.png
165,Arrival,2019-12-08 15:27,ROHUKULA,TIIU [EE],/icons/icon6_511.png
166,Arrival,2019-12-08 15:27,MARYSVILLE,WOLFE ISLANDER III [CA],/icons/icon6_511.png
167,Arrival,2019-12-08 15:27,ROTTERDAM WAALHAVEN,AMPHIRA [NL],/icons/icon7_511.png
168,Departure,2019-12-08 15:27,HUFTHAMER,HORGEFJORD [NO],/icons/icon6_511.png
169,Departure,2019-12-08 15:27,VASSOY,TEDNO [NO],/icons/icon6_511.png
170,Arrival,2019-12-08 15:27,NESVIK,HARDINGEN [NO],/icons/icon6_511.png
171,Arrival,2019-12-08 15:27,PUTTGARDEN,SCHLESWIG-HOLSTEIN [DE],/icons/icon6_511.png
172,Arrival,2019-12-08 15:27,SCHOONHOVEN,ZILVERSTAD [NL],/icons/icon6_511.png
173,Departure,2019-12-08 15:27,DUISBURG,BRIENZERSEE [DE],/icons/icon8_511.png
174,Departure,2019-12-08 15:27,STAVERN,RESCUE STORMBULL [NO],/icons/icon3_511.png
175,Arrival,2019-12-08 15:27,UTRECHT,RWS 24 [NL],/icons/icon0_511.png
176,Arrival,2019-12-08 15:27,CHEK LAP KOK,WANG HUNG 3113 [CN],/icons/icon7_511.png
177,Arrival,2019-12-08 15:27,GOSPORT,SPIRIT OF PORTSMOUTH [GB],/icons/icon6_511.png
178,Departure,2019-12-08 15:27,VAL-DE-LA-HAYE,BAC 18 [FR],/icons/icon0_511.png
179,Arrival,2019-12-08 15:27,PETIT COURONNE,BAC 18 [FR],/icons/icon0_511.png
180,Arrival,2019-12-08 15:27,WIJNEGEM,AQUA FERRO [BE],/icons/icon6_511.png
181,Arrival,2019-12-08 15:27,SHELTER ISLAND HEIGH,MANHANSETT [US],/icons/icon6_511.png
182,Departure,2019-12-08 15:27,STEILACOOM,WL CALLAHAN [US],/icons/icon6_511.png
183,Arrival,2019-12-08 15:27,BRATTVAG,DRYNA [NO],/icons/icon6_511.png
184,Departure,2019-12-08 15:27,GELKENES,ZILVERSTAD [NL],/icons/icon6_511.png
185,Departure,2019-12-08 15:27,HONG KONG,PILOT21 [HK],/icons/icon3_511.png
186,Departure,2019-12-08 15:27,ROTTERDAM CENTRUM,MSTX 15 [NL],/icons/icon0_511.png
187,Arrival,2019-12-08 15:27,DORDRECHT,AQUA RUNNER [NL],/icons/icon6_511.png
188,Departure,2019-12-08 15:27,CIRKEWWA,GAUDOS [MT],/icons/icon6_511.png
189,Arrival,2019-12-08 15:27,NANTUCKET,GREY LADY IV [US],/icons/icon4_511.png
190,Arrival,2019-12-08 15:27,ROTTERDAM PERNIS,MSTX 5 [NL],/icons/icon4_511.png
191,Arrival,2019-12-08 15:27,PALM BEACH,LADY REBECCA [US],/icons/icon9_511.png
192,Departure,2019-12-08 15:27,KOELN,WSP 3 [DE],/icons/icon0_511.png
193,Arrival,2019-12-08 15:27,ASKO,M.F.ASKOE [DK],/icons/icon6_511.png
194,Arrival,2019-12-08 15:26,TOLEDO,OHIO [US],/icons/icon3_511.png
195,Departure,2019-12-08 15:26,BREMERHAVEN,PILOT FAXE (129) [DE],/icons/icon3_511.png
196,Departure,2019-12-08 15:26,RODOY,EYR MYKEN [NO],/icons/icon3_511.png
197,Arrival,2019-12-08 15:26,ABIDJAN,PETRO CRAFT 1605-6 [CI],/icons/icon3_511.png
198,Arrival,2019-12-08 15:26,BARCELONA,ARKLOW DALE [ES],/icons/icon7_511.png
199,Departure,2019-12-08 15:26,PIRAEUS,APOLLON HELLAS [GR],/icons/icon6_511.png
200,Arrival,2019-12-08 15:26,PORT CARTIER,OCEAN ROSS GAUDRAULT [CA],/icons/icon3_511.png
201,Departure,2019-12-08 15:26,QUIBERON,BANGOR [FR],/icons/icon6_511.png
202,Departure,2019-12-08 15:26,AMSTERDAM,KOKMEEUW [NL],/icons/icon3_511.png
203,Arrival,2019-12-08 15:26,CLINTON,WSF KITTITAS [US],/icons/icon6_511.png
204,Arrival,2019-12-08 15:26,AVALON,BAYWATCH12 [US],/icons/icon0_511.png
205,Arrival,2019-12-08 15:26,VIRTSU,PIRET [EE],/icons/icon6_511.png
206,Departure,2019-12-08 15:26,ROTTERDAM CENTRUM,MSTX 2 [NL],/icons/icon4_511.png
207,Departure,2019-12-08 15:26,ALGECIRAS,AVEMAR DOS [ES],/icons/icon4_511.png
208,Departure,2019-12-08 15:26,CHERRY POINT,AWARE [US],/icons/icon3_511.png
209,Arrival,2019-12-08 15:26,NOVOROSSIYSK,OZGUN [RU],/icons/icon7_511.png
210,Departure,2019-12-08 15:26,STUTTGART,WILHELMA [DE],/icons/icon9_511.png
211,Arrival,2019-12-08 15:26,GRINDAVIK,DUDDI GISLA [IS],/icons/icon10_511.png
212,Departure,2019-12-08 15:26,NORDENHAM,BREMERHAVEN [DE],/icons/icon6_511.png
213,Departure,2019-12-08 15:26,PARGUA,TREHUACO [CL],/icons/icon6_511.png
214,Arrival,2019-12-08 15:26,ZAANDAM,ELLY GLASIUS [NL],/icons/icon6_511.png
215,Arrival,2019-12-08 15:26,SUNDE,RONJA STRAND [NO],/icons/icon7_511.png
216,Departure,2019-12-08 15:26,AMSTERDAM,ELLY GLASIUS [NL],/icons/icon6_511.png
217,Arrival,2019-12-08 15:26,BEIDENFLETH,STEINBURG [DE],/icons/icon9_511.png
218,Arrival,2019-12-08 15:26,HYANNIS,IYANOUGH [US],/icons/icon4_511.png
219,Arrival,2019-12-08 15:26,WILHELMSHAVEN,PILOT WARNEMUENDE [DE],/icons/icon3_511.png
220,Departure,2019-12-08 15:26,BLECKEDE,AMT NEUHAUS [DE],/icons/icon6_511.png
221,Arrival,2019-12-08 15:26,STAVANGER,FJORDLYS [NO],/icons/icon4_511.png
222,Departure,2019-12-08 15:26,HELSINGBORG,HAMLET [SE],/icons/icon6_511.png
223,Departure,2019-12-08 15:26,PAPENDRECHT,AQUA RUNNER [NL],/icons/icon6_511.png
224,Departure,2019-12-08 15:26,ROZENBURG,BLANKENBURG [NL],/icons/icon6_511.png
225,Arrival,2019-12-08 15:26,HAUGESUND,FJORDLED [NO],/icons/icon4_511.png
226,Arrival,2019-12-08 15:26,ROTTERDAM CENTRUM,MSTX 14 [NL],/icons/icon4_511.png
227,Departure,2019-12-08 15:26,UST-LUGA,SKIF [RU],/icons/icon3_511.png
228,Arrival,2019-12-08 15:26,DUISBURG,SAMARY [DE],/icons/icon7_511.png
229,Departure,2019-12-08 15:26,ROTTERDAM WAALHAVEN,ABEL TASMAN [NL],/icons/icon0_511.png
230,Arrival,2019-12-08 15:26,NANTUCKET,NANTUCKET EXPRESS [US],/icons/icon6_511.png
231,Arrival,2019-12-08 15:26,DELFSHAVEN,CHRISTINA [NL],/icons/icon6_511.png
232,Departure,2019-12-08 15:26,PORTSMOUTH,WIGHT RYDER 1 [GB],/icons/icon4_511.png
233,Arrival,2019-12-08 15:26,KINSALE,RNLI LIFEBOAT B-909 [IE],/icons/icon3_511.png
234,Departure,2019-12-08 15:26,PORTSMOUTH,SPIRIT OF PORTSMOUTH [GB],/icons/icon6_511.png
235,Arrival,2019-12-08 15:26,SINGAPORE,NOBLE PEARL [SG],/icons/icon3_511.png
236,Arrival,2019-12-08 15:26,KEY WEST,M/V RHAPSODY OTS [US],/icons/icon6_511.png
237,Arrival,2019-12-08 15:26,CHEK LAP KOK,WANG HUNG 3127 [CN],/icons/icon7_511.png
238,Arrival,2019-12-08 15:25,HEMIKSEM,SMYLTINE [BE],/icons/icon6_511.png
239,Arrival,2019-12-08 15:25,SCHIEDAM,MSTX 9 [NL],/icons/icon4_511.png
240,Departure,2019-12-08 15:25,BRAKE,KLEINENSIEL [DE],/icons/icon6_511.png
241,Arrival,2019-12-08 15:25,PYEONGTAEK,DAEJOO ARIRANG 2 [KR],/icons/icon7_511.png
242,Arrival,2019-12-08 15:25,KNAPPSKOG,FJELLGAR [NO],/icons/icon6_511.png
243,Arrival,2019-12-08 15:25,GEORGETOWN,SKANDI FOULA [GY],/icons/icon3_511.png
244,Arrival,2019-12-08 15:25,QINZHOU,XIN HONG XIANG 77 [CN],/icons/icon7_511.png
245,Departure,2019-12-08 15:25,REYKJAVIK,JOTUNN [IS],/icons/icon3_511.png
246,Arrival,2019-12-08 15:25,BRUNSBUETTEL,FAEHRE STETTIN [DE],/icons/icon6_511.png
247,Departure,2019-12-08 15:25,DELFZIJL,GALACTICA [NL],/icons/icon0_511.png
248,Arrival,2019-12-08 15:25,BAIE COMEAU,ALGOMA HARVESTER [CA],/icons/icon7_511.png
249,Arrival,2019-12-08 15:25,HONG KONG,FIRST FERRY VII [HK],/icons/icon4_511.png
250,Departure,2019-12-08 15:25,SINGAPORE,STAR COMMODORE TG88 [SG],/icons/icon3_511.png
251,Arrival,2019-12-08 15:25,AGIOI THEODORI,PAVLOS [GR],/icons/icon3_511.png
252,Departure,2019-12-08 15:25,AMSTERDAM,NORDIC SOLA [NL],/icons/icon8_511.png
253,Arrival,2019-12-08 15:25,BODOE,ELSA LAULA RENBERG [NO],/icons/icon4_511.png
254,Departure,2019-12-08 15:25,ROTTERDAM,SONORA [NL],/icons/icon8_511.png
